"n",ile zer,sigma index,sigma,błąd,czas wykonania
0,0.99,0,5.856793,3.434155e+03,0.046280
1,0.99,511,1.410554,2.557009e+03,1.328985
2,0.99,1023,0.000597,2.055914e-29,21.577886
3,0.99,0,5.856793,3.390015e+03,0.023853
4,0.99,511,1.410554,2.062169e+03,0.899361
5,0.99,1023,0.000597,1.985398e-27,7.943374
6,0.98,0,11.018371,6.931849e+03,0.025813
7,0.98,511,2.061441,5.899716e+03,0.746639
8,0.98,1023,0.001405,6.901101e-29,36.406361
9,0.98,0,11.018371,6.850461e+03,0.031413
10,0.98,511,2.061441,5.618228e+03,1.276330
11,0.98,1023,0.001405,4.391271e-27,12.125587
12,0.95,0,26.110064,1.662720e+04,0.019194
13,0.95,511,3.239701,1.575932e+04,0.330225
14,0.95,1023,0.002152,1.992561e-28,69.574746
15,0.95,0,26.110064,1.643863e+04,0.031734
16,0.95,511,3.239701,1.421475e+04,0.421705
17,0.95,1023,0.002152,1.312151e-26,23.497390
18,0.90,0,51.534296,3.192930e+04,0.027887
19,0.90,511,4.503868,3.050244e+04,0.317772
20,0.9,1023,0.000154,5.071286e-28,119.995896
21,0.9,0,51.534296,3.157278e+04,0.023475
22,0.9,511,4.503868,2.770292e+04,0.380868
23,0.9,1023,0.000154,2.764447e-26,34.798304
24,0.8,0,102.807888,5.896194e+04,0.031742
25,0.8,511,6.154664,5.649539e+04,0.287045
26,0.8,1023,0.005524,7.052584e-07,192.039879
27,0.8,0,102.807888,5.832658e+04,0.029832
28,0.8,511,6.154664,5.153192e+04,0.396109
29,0.8,1023,0.005524,7.176418e-06,61.251812
