"",ile zer,b,która to sigma,sigma,błąd,czas wykonania
0,0.99,1,2,3.934358,3463.677499,0.031079
1,0.99,1,512,1.411523,3463.677499,1.087489
2,0.99,1,1023,0.000474,3463.677499,19.642238
3,0.99,4,2,3.909959,3373.609845,0.029064
4,0.99,4,512,1.405754,3373.609845,0.758054
5,0.99,4,1023,0.000527,3373.609845,6.454983
6,0.98,1,2,5.338242,6856.501369,0.023322
7,0.98,1,512,2.035181,6856.501369,0.795676
8,0.98,1,1023,0.000285,6856.501369,32.803821
9,0.98,4,2,5.363220,6821.210499,0.033153
10,0.98,4,512,2.045775,6821.210499,0.429154
11,0.98,4,1023,0.002126,6821.210499,10.371672
12,0.95,1,2,8.101982,16664.297952,0.026753
13,0.95,1,512,3.223809,16664.297952,0.337897
14,0.95,1,1023,0.001489,16664.297952,66.441400
15,0.95,4,2,8.144669,16634.894594,0.033909
16,0.95,4,512,3.255723,16634.894594,0.431561
17,0.95,4,1023,0.000141,16634.894594,19.057881
18,0.90,1,2,11.199338,32069.896327,0.023672
19,0.90,1,512,4.519858,32069.896327,0.305352
20,0.9,1,1023,0.000673,32069.896327,109.731656
21,0.9,4,2,11.186934,31742.918213,0.034037
22,0.9,4,512,4.517410,31742.918213,0.530708
23,0.9,4,1023,0.001791,31742.918213,35.323435
24,0.8,1,2,15.159250,59385.497078,0.029523
25,0.8,1,512,6.170448,59385.497078,0.319146
26,0.8,1,1023,0.003837,59385.497078,185.433020
27,0.8,4,2,15.178798,58403.147102,0.031037
28,0.8,4,512,6.142392,58403.147102,0.392700
29,0.8,4,1023,0.002493,58403.147102,58.141833
